"id","finance","id_finance_id","finance_en"
"366","60 يوم","28332400","60 days"
"367","60 يوم","28332500","60 days"
"368","60 يوم","28332700","60 days"
"369","60 يوم","28333000","60 days"
"370","60 يوم","28334000","60 days"
"371","60 يوم","28341000","60 days"
"372","60 يوم","28342100","60 days"
"373","60 يوم","28351000","60 days"
"374","60 يوم","28352200","60 days"
"375","60 يوم","28352400","60 days"
"376","60 يوم","28352500","60 days"
"377","60 يوم","28352600","60 days"
"378","60 يوم","28353100","60 days"
"379","60 يوم","28353900","60 days"
"380","60 يوم","28362000","60 days"
"381","60 يوم","28363000","60 days"
"382","60 يوم","28364000","60 days"
"383","60 يوم","28365000","60 days"
"384","60 يوم","28369100","60 days"
"385","60 يوم","28369900","60 days"
"386","60 يوم","28391100","60 days"
"387","60 يوم","28391900","60 days"
"388","60 يوم","28399000","60 days"
"389","60 يوم","28401100","60 days"
"390","60 يوم","28401900","60 days"
"391","60 يوم","28402000","60 days"
"392","60 يوم","28403000","60 days"
"393","60 يوم","28416100","60 days"
"394","60 يوم","28417000","60 days"
"395","60 يوم","28419000","60 days"
"396","60 يوم","28421000","60 days"
"397","60 يوم","28470000","60 days"
"398","60 يوم","28491000","60 days"
"399","60 يوم","28492000","60 days"
"400","60 يوم","28531000","60 days"
"401","60 يوم","28539000","60 days"
"402","60 يوم","29011000","60 days"
"403","60 يوم","29012200","60 days"
"404","60 يوم","29012900","60 days"
"405","60 يوم","29021100","60 days"
"406","60 يوم","29021900","60 days"
"407","60 يوم","29023000","60 days"
"408","60 يوم","29024100","60 days"
"409","60 يوم","29024400","60 days"
"410","60 يوم","29025000","60 days"
"411","60 يوم","29026000","60 days"
"412","60 يوم","29029000","60 days"
"413","60 يوم","29031100","60 days"
"414","60 يوم","29031200","60 days"
"415","60 يوم","29031300","60 days"
"416","60 يوم","29032200","60 days"
"417","60 يوم","29032300","60 days"
"418","60 يوم","29034100","60 days"
"419","60 يوم","29034200","60 days"
"420","60 يوم","29034300","60 days"
"421","60 يوم","29034400","60 days"
"422","60 يوم","29034500","60 days"
"423","60 يوم","29034600","60 days"
"424","60 يوم","29034700","60 days"
"425","60 يوم","29034800","60 days"
"426","60 يوم","29034900","60 days"
"427","60 يوم","29035100","60 days"
"428","60 يوم","29035900","60 days"
"429","60 يوم","29036100","60 days"
"430","60 يوم","29036200","60 days"
"431","60 يوم","29036900","60 days"
"432","60 يوم","29037100","60 days"
"433","60 يوم","29037200","60 days"
"434","60 يوم","29037300","60 days"
"435","60 يوم","29037400","60 days"
"436","60 يوم","29037500","60 days"
"437","60 يوم","29037600","60 days"
"438","60 يوم","29037800","60 days"
"439","60 يوم","29037900","60 days"
"440","60 يوم","29038900","60 days"
"441","60 يوم","29039100","60 days"
"442","60 يوم","29039900","60 days"
"443","60 يوم","29041000","60 days"
"444","60 يوم","29042000","60 days"
"445","60 يوم","29049900","60 days"
"446","60 يوم","29051100","60 days"
"447","60 يوم","29051200","60 days"
"448","60 يوم","29051300","60 days"
"449","60 يوم","29051400","60 days"
"450","60 يوم","29051700","60 days"
"451","60 يوم","29051900","60 days"
"452","60 يوم","29052900","60 days"
"453","60 يوم","29053100","60 days"
"454","60 يوم","29053200","60 days"
"455","60 يوم","29053900","60 days"
"456","60 يوم","29054100","60 days"
"457","60 يوم","29054200","60 days"
"458","60 يوم","29054300","60 days"
"459","60 يوم","29054400","60 days"
"460","60 يوم","29054500","60 days"
"461","60 يوم","29054900","60 days"
"462","60 يوم","29055900","60 days"
"463","60 يوم","29061100","60 days"
"464","60 يوم","29061300","60 days"
"465","60 يوم","29061900","60 days"
"466","60 يوم","29062100","60 days"
"467","60 يوم","29062900","60 days"
"468","60 يوم","29071100","60 days"
"469","60 يوم","29071200","60 days"
"470","60 يوم","29071900","60 days"
"471","60 يوم","29072100","60 days"
"472","60 يوم","29072200","60 days"
"473","60 يوم","29072300","60 days"
"474","60 يوم","29072900","60 days"
"475","60 يوم","29081900","60 days"
"476","60 يوم","29089900","60 days"
"477","60 يوم","29093000","60 days"
"478","60 يوم","29094100","60 days"
"479","60 يوم","29094300","60 days"
"480","60 يوم","29094400","60 days"
"481","60 يوم","29094900","60 days"
"482","60 يوم","29095000","60 days"
"483","60 يوم","29096000","60 days"
"484","60 يوم","29103000","60 days"
"485","60 يوم","29109000","60 days"
"486","60 يوم","29121100","60 days"
"487","60 يوم","29121200","60 days"
"488","60 يوم","29121900","60 days"
"489","60 يوم","29124100","60 days"
"490","60 يوم","29124900","60 days"
"491","60 يوم","29125000","60 days"
"492","60 يوم","29126000","60 days"
"493","60 يوم","29130000","60 days"
"494","60 يوم","29141100","60 days"
"495","60 يوم","29141200","60 days"
"496","60 يوم","29141900","60 days"
"497","60 يوم","29142200","60 days"
"498","60 يوم","29142900","60 days"
"499","60 يوم","29143900","60 days"
"500","60 يوم","29144000","60 days"
"501","60 يوم","29145000","60 days"
"502","60 يوم","29146200","60 days"
"503","60 يوم","29146900","60 days"
"504","60 يوم","29147900","60 days"
"505","60 يوم","29151100","60 days"
"506","60 يوم","29151200","60 days"
"507","60 يوم","29151300","60 days"
"508","60 يوم","29152100","60 days"
"509","60 يوم","29152400","60 days"
"510","60 يوم","29152900","60 days"
"511","60 يوم","29153100","60 days"
"512","60 يوم","29153200","60 days"
"513","60 يوم","29153300","60 days"
"514","60 يوم","29153600","60 days"
"515","60 يوم","29153900","60 days"
"516","60 يوم","29154000","60 days"
"517","60 يوم","29155000","60 days"
"518","60 يوم","29156000","60 days"
"519","60 يوم","29157000","60 days"
"520","60 يوم","29159000","60 days"
"521","60 يوم","29161100","60 days"
"522","60 يوم","29161200","60 days"
"523","60 يوم","29161500","60 days"
"524","60 يوم","29161900","60 days"
"525","60 يوم","29162000","60 days"
"526","60 يوم","29163100","60 days"
"527","60 يوم","29163200","60 days"
"528","60 يوم","29163400","60 days"
"529","60 يوم","29163900","60 days"
"530","60 يوم","29171100","60 days"
"531","60 يوم","29171200","60 days"
"532","60 يوم","29171300","60 days"
"533","60 يوم","29171400","60 days"
"534","60 يوم","29171900","60 days"
"535","60 يوم","29173200","60 days"
"536","60 يوم","29173300","60 days"
"537","60 يوم","29173400","60 days"
"538","60 يوم","29173500","60 days"
"539","60 يوم","29173600","60 days"
"540","60 يوم","29173900","60 days"
"541","60 يوم","29181100","60 days"
"542","60 يوم","29181200","60 days"
"543","60 يوم","29181300","60 days"
"544","60 يوم","29091100","60 days"
"545","60 يوم","29181600","60 days"
"546","60 يوم","29181900","60 days"
"547","60 يوم","29182100","60 days"
"548","60 يوم","29182200","60 days"
"549","60 يوم","29182300","60 days"
"550","60 يوم","29182900","60 days"
"551","60 يوم","29183000","60 days"
"552","60 يوم","29189900","60 days"
"553","60 يوم","29199000","60 days"
"554","60 يوم","29202900","60 days"
"555","60 يوم","29209000","60 days"
"556","60 يوم","29211100","60 days"
"557","60 يوم","29211900","60 days"
"558","60 يوم","29212100","60 days"
"559","60 يوم","29212900","60 days"
"560","60 يوم","29213000","60 days"
"561","60 يوم","29214200","60 days"
"562","60 يوم","29214600","60 days"
"563","60 يوم","29214900","60 days"
"564","60 يوم","29215100","60 days"
"565","60 يوم","29215900","60 days"
"566","60 يوم","29221100","60 days"
"567","60 يوم","29221200","60 days"
"568","60 يوم","29221500","60 days"
"569","60 يوم","29221700","60 days"
"570","60 يوم","29221800","60 days"
"571","60 يوم","29221900","60 days"
"572","60 يوم","29222100","60 days"
"573","60 يوم","29222900","60 days"
"574","60 يوم","29223900","60 days"
"575","60 يوم","29224100","60 days"
"576","60 يوم","29224200","60 days"
"577","60 يوم","29224900","60 days"
"578","60 يوم","29225000","60 days"
"579","60 يوم","29231000","60 days"
"580","60 يوم","29232000","60 days"
"581","60 يوم","29239000","60 days"
"582","60 يوم","29241900","60 days"
"583","60 يوم","29242500","60 days"
"584","60 يوم","29251100","60 days"
"585","60 يوم","29251900","60 days"
"586","60 يوم","29252900","60 days"
"587","60 يوم","29262000","60 days"
"588","60 يوم","29264000","60 days"
"589","60 يوم","29269000","60 days"
"590","60 يوم","29270000","60 days"
"591","60 يوم","29280000","60 days"
"592","60 يوم","29291000","60 days"
"593","60 يوم","29299000","60 days"
"594","60 يوم","29302000","60 days"
"595","60 يوم","29304000","60 days"
"596","60 يوم","29305000","60 days"
"597","60 يوم","29309000","60 days"
"598","60 يوم","29311000","60 days"
"599","60 يوم","29312000","60 days"
"600","60 يوم","29314100","60 days"
"601","60 يوم","29314200","60 days"
"602","60 يوم","29314300","60 days"
"603","60 يوم","29314400","60 days"
"604","60 يوم","29314500","60 days"
"605","60 يوم","29314600","60 days"
"606","60 يوم","29314700","60 days"
"607","60 يوم","29314800","60 days"
