id,export,export_en,id_exportfee_id
282,مسموح التصدير,Export allowed,03069200
283,مسموح التصدير,Export allowed,03069300
284,مسموح التصدير,Export allowed,03069400
285,مسموح التصدير,Export allowed,03069500
286,مسموح التصدير,Export allowed,03069900
287,ممنوع التصدير,Export allowed,03071100
288,ممنوع التصدير,Export allowed,03071200
289,ممنوع التصدير,Export allowed,03071900
290,ممنوع التصدير,Export allowed,03072100
291,ممنوع التصدير,Export allowed,03072200
292,ممنوع التصدير,Export allowed,03072900
293,ممنوع التصدير,Export allowed,03073100
294,ممنوع التصدير,Export allowed,03073200
295,ممنوع التصدير,Export allowed,03073900
296,ممنوع التصدير,Export allowed,03074100
297,ممنوع التصدير,Export allowed,03074300
298,ممنوع التصدير,Export allowed,03074900
299,ممنوع التصدير,Export allowed,03075100
300,ممنوع التصدير,Export allowed,03075200
301,ممنوع التصدير,Export allowed,03075900
302,ممنوع التصدير,Export allowed,03076000
303,ممنوع التصدير,Export allowed,03077100
304,ممنوع التصدير,Export allowed,03077200
305,ممنوع التصدير,Export allowed,03077900
306,ممنوع التصدير,Export allowed,03078100
307,ممنوع التصدير,Export allowed,03078200
308,ممنوع التصدير,Export allowed,03078300
309,ممنوع التصدير,Export allowed,03078400
310,ممنوع التصدير,Export allowed,03078700
311,ممنوع التصدير,Export allowed,03078800
312,ممنوع التصدير,Export allowed,03079100
313,ممنوع التصدير,Export allowed,03079200
314,ممنوع التصدير,Export allowed,03079900
315,ممنوع التصدير,Export allowed,03081100
316,ممنوع التصدير,Export allowed,03081200
317,ممنوع التصدير,Export allowed,03081900
318,ممنوع التصدير,Export allowed,03082100
319,ممنوع التصدير,Export allowed,03082200
320,ممنوع التصدير,Export allowed,03082900
321,ممنوع التصدير,Export allowed,03083000
322,ممنوع التصدير,Export allowed,03089000
323,مسموح التصدير,Export allowed,04011000
324,مسموح التصدير,Export allowed,04012000
325,مسموح التصدير,Export allowed,04014000
326,مسموح التصدير,Export allowed,04015000
327,مسموح التصدير,Export allowed,04021010
328,مسموح التصدير,Export allowed,04021090
329,مسموح التصدير,Export allowed,04022110
330,مسموح التصدير,Export allowed,04022190
331,مسموح التصدير,Export allowed,04022910
332,مسموح التصدير,Export allowed,04022990
333,مسموح التصدير,Export allowed,04029100
334,مسموح التصدير,Export allowed,04029900
335,مسموح التصدير,Export allowed,04032000
336,مسموح التصدير,Export allowed,04039000
337,مسموح التصدير,Export allowed,04041000
338,مسموح التصدير,Export allowed,04049010
339,مسموح التصدير,Export allowed,04049090
340,مسموح التصدير,Export allowed,04051000
341,مسموح التصدير,Export allowed,04052000
342,مسموح التصدير,Export allowed,04059010
343,مسموح التصدير,Export allowed,04059090
344,مسموح التصدير,Export allowed,04061000
345,مسموح التصدير,Export allowed,04062000
346,مسموح التصدير,Export allowed,04063000
347,مسموح التصدير,Export allowed,04064000
348,مسموح التصدير,Export allowed,04069000
349,ممنوع التصدير,Export allowed,04071100
350,ممنوع التصدير,Export allowed,04071900
351,مسموح التصدير,Export allowed,04072100
352,مسموح التصدير,Export allowed,04072900
353,مسموح التصدير,Export allowed,04079000
354,ممنوع التصدير,Export allowed,04081100
355,ممنوع التصدير,Export allowed,04081900
356,ممنوع التصدير,Export allowed,04089100
357,ممنوع التصدير,Export allowed,04089900
358,مسموح التصدير,Export allowed,04090000
359,مسموح التصدير,Export allowed,04101000
360,مسموح التصدير,Export allowed,04109000
361,مسموح التصدير,Export allowed,05010000
362,مسموح التصدير,Export allowed,05021000
363,مسموح التصدير,Export allowed,05029000
364,مسموح التصدير,Export allowed,05040000
365,مسموح التصدير,Export allowed,05051000
366,مسموح التصدير,Export allowed,05059000
367,مسموح التصدير,Export allowed,05061000
368,مسموح التصدير,Export allowed,05069000
369,مسموح التصدير,Export allowed,05071000
370,مسموح التصدير,Export allowed,05079000
371,مسموح التصدير,Export allowed,05080000
372,مسموح التصدير,Export allowed,05100000
373,مسموح التصدير,Export allowed,05111000
374,مسموح التصدير,Export allowed,05119100
375,مسموح التصدير,Export allowed,05119910
376,ممنوع التصدير,Export allowed,05119990
377,مسموح التصدير,Export allowed,06011000
378,مسموح التصدير,Export allowed,06012000
379,مسموح التصدير,Export allowed,06021000
380,مسموح التصدير,Export allowed,06022000
381,مسموح التصدير,Export allowed,06023000
382,مسموح التصدير,Export allowed,06024000
383,مسموح التصدير,Export allowed,06029000
384,مسموح التصدير,Export allowed,06031100
385,مسموح التصدير,Export allowed,06031200
386,مسموح التصدير,Export allowed,06031300
387,مسموح التصدير,Export allowed,06031400
388,مسموح التصدير,Export allowed,06031500
389,مسموح التصدير,Export allowed,06031900
390,مسموح التصدير,Export allowed,06039000
391,مسموح التصدير,Export allowed,06042000
392,مسموح التصدير,Export allowed,06049000
393,ممنوع التصدير,Export allowed,07011000
394,ممنوع التصدير,Export allowed,07019000
395,مسموح التصدير,Export allowed,07020000
396,مسموح التصدير,Export allowed,07031000
397,مسموح التصدير,Export allowed,07032000
398,مسموح التصدير,Export allowed,07033000
399,مسموح التصدير,Export allowed,07041000
400,مسموح التصدير,Export allowed,07042000
401,مسموح التصدير,Export allowed,07049000
402,مسموح التصدير,Export allowed,07051100
403,مسموح التصدير,Export allowed,07051900
404,مسموح التصدير,Export allowed,07052100
405,مسموح التصدير,Export allowed,07052900
406,مسموح التصدير,Export allowed,07061000
407,مسموح التصدير,Export allowed,07069000
408,مسموح التصدير,Export allowed,07070000
409,مسموح التصدير,Export allowed,07081000
410,مسموح التصدير,Export allowed,07082000
411,مسموح التصدير,Export allowed,07089000
412,مسموح التصدير,Export allowed,07092000
413,مسموح التصدير,Export allowed,07093000
414,مسموح التصدير,Export allowed,07094000
415,مسموح التصدير,Export allowed,07095100
416,مسموح التصدير,Export allowed,07095900
417,مسموح التصدير,Export allowed,07096000
418,مسموح التصدير,Export allowed,07097000
419,مسموح التصدير,Export allowed,07099100
420,مسموح التصدير,Export allowed,07099200
421,مسموح التصدير,Export allowed,07099300
422,مسموح التصدير,Export allowed,07099900
423,مسموح التصدير,Export allowed,07101000
424,مسموح التصدير,Export allowed,07102100
425,مسموح التصدير,Export allowed,07102200
426,مسموح التصدير,Export allowed,07102900
427,مسموح التصدير,Export allowed,07103000
428,ممنوع التصدير,Export allowed,07104000
429,مسموح التصدير,Export allowed,07108000
430,مسموح التصدير,Export allowed,07109000
431,مسموح التصدير,Export allowed,07112000
432,مسموح التصدير,Export allowed,07114000
433,مسموح التصدير,Export allowed,07115100
434,مسموح التصدير,Export allowed,07115900
435,مسموح التصدير,Export allowed,07119000
436,مسموح التصدير,Export allowed,07122000
437,مسموح التصدير,Export allowed,07123100
438,مسموح التصدير,Export allowed,07123200
439,مسموح التصدير,Export allowed,07123300
440,مسموح التصدير,Export allowed,07123900
441,مسموح التصدير,Export allowed,07129000
442,مسموح التصدير,Export allowed,07131010
443,ممنوع التصدير,Export allowed,07131090
444,ممنوع التصدير,Export allowed,07132000
445,مسموح التصدير,Export allowed,07133110
446,ممنوع التصدير,Export allowed,07133190
447,مسموح التصدير,Export allowed,07133210
448,ممنوع التصدير,Export allowed,07133290
449,مسموح التصدير,Export allowed,07133310
450,ممنوع التصدير,Export allowed,07133390
451,ممنوع التصدير,Export allowed,07133400
452,مسموح التصدير,Export allowed,07133510
453,ممنوع التصدير,Export allowed,07133590
454,مسموح التصدير,Export allowed,07133910
455,ممنوع التصدير,Export allowed,07133990
456,مسموح التصدير,Export allowed,07134000
457,مسموح التصدير,Export allowed,07135010
458,ممنوع التصدير,Export allowed,07135090
459,ممنوع التصدير,Export allowed,07136000
460,ممنوع التصدير,Export allowed,07139000
461,مسموح التصدير,Export allowed,07141000
462,مسموح التصدير,Export allowed,07142000
463,مسموح التصدير,Export allowed,07143000
464,مسموح التصدير,Export allowed,07144000
465,مسموح التصدير,Export allowed,07145000
466,مسموح التصدير,Export allowed,07149000
467,مسموح التصدير,Export allowed,08011100
468,مسموح التصدير,Export allowed,08011200
469,مسموح التصدير,Export allowed,08011900
470,مسموح التصدير,Export allowed,08012100
471,مسموح التصدير,Export allowed,08012200
472,مسموح التصدير,Export allowed,08013100
473,مسموح التصدير,Export allowed,08013200
474,مسموح التصدير,Export allowed,08021100
475,مسموح التصدير,Export allowed,08021200
476,مسموح التصدير,Export allowed,08022100
477,مسموح التصدير,Export allowed,08022200
478,مسموح التصدير,Export allowed,08023100
479,مسموح التصدير,Export allowed,08023200
480,مسموح التصدير,Export allowed,08024100
481,مسموح التصدير,Export allowed,08024200
482,مسموح التصدير,Export allowed,08025100
483,مسموح التصدير,Export allowed,08025200
484,مسموح التصدير,Export allowed,08026100
485,مسموح التصدير,Export allowed,08026200
486,مسموح التصدير,Export allowed,08027000
487,مسموح التصدير,Export allowed,08028000
488,مسموح التصدير,Export allowed,08029100
489,مسموح التصدير,Export allowed,08029200
490,مسموح التصدير,Export allowed,08029900
491,مسموح التصدير,Export allowed,08031000
492,مسموح التصدير,Export allowed,08039000
493,مسموح التصدير,Export allowed,08041000
494,مسموح التصدير,Export allowed,08042000
495,مسموح التصدير,Export allowed,08043000
496,مسموح التصدير,Export allowed,08044000
497,مسموح التصدير,Export allowed,08045000
498,مسموح التصدير,Export allowed,08051000
499,مسموح التصدير,Export allowed,08052100
500,مسموح التصدير,Export allowed,08052200
501,مسموح التصدير,Export allowed,08052900
502,مسموح التصدير,Export allowed,08054000
503,مسموح التصدير,Export allowed,08055000
504,مسموح التصدير,Export allowed,08059000
505,مسموح التصدير,Export allowed,08061000
506,مسموح التصدير,Export allowed,08062000
507,مسموح التصدير,Export allowed,08071100
508,مسموح التصدير,Export allowed,08071900
509,مسموح التصدير,Export allowed,08072000
510,مسموح التصدير,Export allowed,08081000
511,مسموح التصدير,Export allowed,08083000
512,مسموح التصدير,Export allowed,08084000
513,مسموح التصدير,Export allowed,08091000
514,مسموح التصدير,Export allowed,08092100
515,مسموح التصدير,Export allowed,08092900
516,مسموح التصدير,Export allowed,08093000
517,مسموح التصدير,Export allowed,08094000
518,مسموح التصدير,Export allowed,08101000
519,مسموح التصدير,Export allowed,08102000
520,مسموح التصدير,Export allowed,08103000
521,مسموح التصدير,Export allowed,08104000
522,مسموح التصدير,Export allowed,08105000
523,مسموح التصدير,Export allowed,08106000
524,مسموح التصدير,Export allowed,08107000
525,مسموح التصدير,Export allowed,08109000
526,مسموح التصدير,Export allowed,08111000
527,مسموح التصدير,Export allowed,08112000
528,مسموح التصدير,Export allowed,08119000
529,مسموح التصدير,Export allowed,08121000
530,مسموح التصدير,Export allowed,08129000
531,مسموح التصدير,Export allowed,08131000
532,مسموح التصدير,Export allowed,08132000
533,مسموح التصدير,Export allowed,08133000
534,مسموح التصدير,Export allowed,08134000
535,مسموح التصدير,Export allowed,08135000
536,مسموح التصدير,Export allowed,08140000
537,ممنوع التصدير,Export allowed,09011100
538,ممنوع التصدير,Export allowed,09011200
539,مسموح التصدير,Export allowed,09012100
540,مسموح التصدير,Export allowed,09012200
541,ممنوع التصدير,Export allowed,09019000
542,ممنوع التصدير,Export allowed,09021000
543,ممنوع التصدير,Export allowed,09022000
544,ممنوع التصدير,Export allowed,09023000
545,ممنوع التصدير,Export allowed,09024000
546,مسموح التصدير,Export allowed,09030000
547,مسموح التصدير,Export allowed,09041100
548,مسموح التصدير,Export allowed,09041200
549,مسموح التصدير,Export allowed,09042100
550,مسموح التصدير,Export allowed,09042200
551,مسموح التصدير,Export allowed,09051000
552,مسموح التصدير,Export allowed,09052000
553,مسموح التصدير,Export allowed,09061100
554,مسموح التصدير,Export allowed,09061900
555,مسموح التصدير,Export allowed,09062000
556,مسموح التصدير,Export allowed,09071000
557,مسموح التصدير,Export allowed,09072000
558,مسموح التصدير,Export allowed,09081100
559,مسموح التصدير,Export allowed,09081200
560,مسموح التصدير,Export allowed,09082100
561,مسموح التصدير,Export allowed,09082200
562,مسموح التصدير,Export allowed,09083100
563,مسموح التصدير,Export allowed,09083200
564,مسموح التصدير,Export allowed,09092100
565,مسموح التصدير,Export allowed,09092200
566,مسموح التصدير,Export allowed,09093100
567,مسموح التصدير,Export allowed,09093200
568,مسموح التصدير,Export allowed,09096100
569,مسموح التصدير,Export allowed,09096200
570,مسموح التصدير,Export allowed,09101100
571,مسموح التصدير,Export allowed,09101200
572,مسموح التصدير,Export allowed,09102000
573,مسموح التصدير,Export allowed,09103000
574,مسموح التصدير,Export allowed,09109100
575,مسموح التصدير , Export allowed,09109900
576,ممنوع التصدير,Export allowed,10011100
577,ممنوع التصدير,Export allowed,10011900
578,ممنوع التصدير,Export allowed,10019100
579,ممنوع التصدير,Export allowed,10019900
580,ممنوع التصدير,Export allowed,10021000
581,ممنوع التصدير,Export allowed,10022000
582,ممنوع التصدير,Export allowed,10031000
583,ممنوع التصدير,Export allowed,10039000
584,مسموح التصدير,Export allowed,10041000
585,مسموح التصدير,Export allowed,10049000
586,ممنوع التصدير,Export allowed,10051000
587,ممنوع التصدير,Export allowed,10059000
588,ممنوع التصدير,Export allowed,10061000
589,ممنوع التصدير,Export allowed,10062000
590,ممنوع التصدير,Export allowed,10063000
591,ممنوع التصدير,Export allowed,10064000
592,مسموح التصدير,Export allowed,10071000
593,مسموح التصدير,Export allowed,10079000
594,ممنوع التصدير,Export allowed,10081000
595,ممنوع التصدير,Export allowed,10082100
596,ممنوع التصدير,Export allowed,10082900
597,ممنوع التصدير,Export allowed,10083000
598,ممنوع التصدير,Export allowed,10084000
599,ممنوع التصدير,Export allowed,10085000
600,ممنوع التصدير,Export allowed,10086000
601,مسموح التصدير,Export allowed,10089000
602,ممنوع التصدير,Export allowed,11010000
603,ممنوع التصدير,Export allowed,11022000
604,ممنوع التصدير,Export allowed,11029000
605,ممنوع التصدير,Export allowed,11031100
606,ممنوع التصدير,Export allowed,11031300
607,ممنوع التصدير,Export allowed,11031900
608,ممنوع التصدير,Export allowed,11032000
609,ممنوع التصدير,Export allowed,11041200
610,ممنوع التصدير,Export allowed,11041900
611,ممنوع التصدير,Export allowed,11042200
612,ممنوع التصدير,Export allowed,11042300
613,ممنوع التصدير,Export allowed,11042900
614,ممنوع التصدير,Export allowed,11043000
615,ممنوع التصدير,Export allowed,11051000
616,ممنوع التصدير,Export allowed,11052000
617,ممنوع التصدير,Export allowed,11061000
618,ممنوع التصدير,Export allowed,11062000
619,ممنوع التصدير,Export allowed,11063000
620,ممنوع التصدير,Export allowed,11071000
621,ممنوع التصدير,Export allowed,11072000
622,ممنوع التصدير,Export allowed,11081100
623,مسموح التصدير,Export allowed,11081200
624,ممنوع التصدير,Export allowed,11081300
625,ممنوع التصدير,Export allowed,11081400
626,ممنوع التصدير,Export allowed,11081900
627,ممنوع التصدير,Export allowed,11082000
628,ممنوع التصدير,Export allowed,11090000
629,مسموح التصدير,Export allowed,12011000
630,مسموح التصدير,Export allowed,12019000
631,مسموح التصدير,Export allowed,12023000
632,مسموح التصدير,Export allowed,12024100
633,مسموح التصدير,Export allowed,12024200
634,مسموح التصدير,Export allowed,12030000
635,مسموح التصدير,Export allowed,12040000
636,مسموح التصدير,Export allowed,12051000
637,مسموح التصدير,Export allowed,12059000
638,مسموح التصدير,Export allowed,12060000
