id,id_importfee_id
599,29321900
600,29322000
601,29329100
602,29329200
603,29329900
604,29331100
605,29331900
606,29332100
607,29332900
608,29333100
609,29333300
610,29333900
611,29334900
612,29335300
613,29335900
614,29336100
615,29336900
616,29337900
617,29339100
618,29339900
619,29341000
620,29342000
621,29343000
622,29349900
623,29351000
624,29352000
625,29355000
626,29359000
627,29362100
628,29362200
629,29362300
630,29362400
631,29362500
632,29362600
633,29362700
634,29362800
635,29362900
636,29369000
637,29371200
638,29371900
639,29372100
640,29372200
641,29372300
642,29372900
643,29375000
644,29379000
645,29381000
646,29389000
647,29391100
648,29391900
649,29393000
650,29394100
651,29394200
652,29394900
653,29395100
654,29395900
655,29396200
656,29396900
657,29397900
658,29398000
659,29400000
660,29411000
661,29412000
662,29413000
663,29414000
664,29415000
665,29419000
666,29420000
667,30019000
668,30021200
669,30021300
670,30021400
671,30021500
672,30024100
673,30024200
674,30024900
675,30025100
676,30029000
677,30031000
678,30032000
679,30033100
680,30033900
681,30034900
682,30039000
683,30041000
684,30042000
685,30043100
686,30043200
687,30043900
688,30044900
689,30045000
690,30049000
691,30051000
692,30059000
693,30061000
694,30062000
695,30063000
696,30064000
697,30065000
698,30066000
699,30067000
700,30069100
701,31010000
702,31021000
703,31022100
704,31022900
705,31023000
706,31025000
707,31026000
708,31028000
709,31029000
710,31031100
711,31031900
712,31039000
713,31042000
714,31043000
715,31049000
716,31051000
717,31052000
718,31053000
719,31054000
720,31055100
721,31055900
722,31056000
723,31059000
724,32012000
725,32019000
726,32021000
727,32029000
728,32030000
729,32041100
730,32041200
731,32041300
732,32041400
733,32041500
734,32041600
735,32041700
736,32041900
737,32042000
738,32049000
739,32050000
740,32061100
741,32061900
742,32062000
743,32064100
744,32064200
745,32064900
746,32065000
747,32071000
748,32072000
749,32073000
750,32074000
751,32081000
752,32089000
753,32091000
754,32100000
755,32110000
756,32121000
757,32129000
758,32131000
759,32139000
760,32141000
761,32149000
762,32151100
763,32151900
764,32159000
765,33011200
766,33011900
767,33012400
768,33012500
769,33012900
770,33013000
771,33019000
772,33021000
773,33029000
774,33041000
775,33042000
776,33049100
777,33049900
778,33061000
779,33062000
780,33069000
781,33074900
782,33079010
783,34012010
784,34023100
785,34023900
786,34024100
787,34024200
788,34024900
789,34029000
790,34031100
791,34031900
792,34039100
793,34039900
794,34042000
795,34049000
796,34051000
797,34052000
798,34054000
799,34059000
800,34070000
801,35011000
802,35019000
803,35021100
804,35030000
805,35040000
806,35051000
807,35052000
808,35061000
809,35069100
810,35069900
811,35071000
812,35079000
813,36020000
814,36031000
815,36032000
816,36033000
817,36034000
818,36035000
819,36036000
820,37011000
821,37013000
822,37019900
823,37029800
824,37031000
825,37032000
826,37039000
827,37071000
828,37079000
829,38011000
830,38019000
831,38021000
832,38029000
833,38030000
834,38040000
835,38051000
836,38059000
837,38061000
838,38063000
839,38069000
840,38085210
841,38085990
842,38086290
843,38086920
844,38086990
845,38089110
846,38089120
847,38089190
848,38089210
849,38089220
850,38089290
851,38089310
852,38089320
853,38089390
854,38089410
855,38089420
856,38089490
857,38089910
858,38089920
859,38089930
860,38089940
861,38089990
862,38091000
863,38099100
864,38099200
865,38099300
866,38101000
867,38109000
868,38111100
869,38111900
870,38112100
871,38112900
872,38119000
873,38121000
874,38122000
875,38123100
876,38123900
877,38130000
878,38140000
879,38151100
880,38151200
881,38159000
882,38160000
883,38170000
884,38190000
885,38200000
886,38210000
887,38221100
888,38221200
889,38221300
890,38221900
891,38229000
892,38231100
893,38231200
894,38231900
895,38237000
896,38241000
897,38244000
898,38245000
899,38246000
900,38248100
901,38248200
902,38248300
903,38249100
904,38249900
905,39011000
906,39012000
907,39013000
908,39014000
909,39019000
910,39021000
911,39022000
912,39023000
913,39029000
914,39031100
915,39031900
916,39032000
917,39033000
918,39039000
919,39041000
920,39042100
921,39042200
922,39043000
923,39044000
924,39049000
925,39051200
926,39051900
927,39052100
928,39052900
929,39053000
930,39059100
931,39059900
932,39061000
933,39069000
934,39071000
935,39072100
936,39072900
937,39073000
938,39074000
939,39075000
940,39076100
941,39076900
942,39077000
943,39079100
944,39079900
945,39081000
946,39089000
947,39091000
948,39092000
949,39093100
950,39093900
951,39094000
952,39095000
953,39100000
954,39111000
955,39119000
956,39121100
957,39121200
958,39122000
959,39123100
960,39123900
961,39129000
962,39131000
963,39139000
964,39140000
965,39162000
966,39169000
967,39171000
968,39172100
969,39172200
970,39172300
971,39172900
972,39173100
973,39173200
974,39173300
975,39173900
976,39174000
977,39189000
978,39191000
979,39199000
980,39201000
981,39202000
982,39203000
983,39204300
984,39204900
985,39205100
986,39205900
987,39206100
988,39206200
989,39206300
990,39206900
991,39207100
992,39207300
993,39207900
994,39209100
995,39209200
996,39209400
997,39209900
998,39211100
999,39211200
1000,39211300
1001,39211400
1002,39211900
1003,39219000
1004,39222000
1005,39231000
1006,39232100
1007,39232900
1008,39233010
1009,39233090
1010,39234000
