"id","created_at","material","name","band","clearanceFeeExport","priceImport","clearanceFee","priceFull","type","priceExport","note","","",""
"92072","6/8/2025","[02044300] قطع أخر بدون عظام,من لحوم فصيلة ضأن، مجمدة","قطع أخر بدون عظام,من لحوم فصيلة ضأن، مجمدة","02044300","2","375","125","500","وزن","0","","","",""
"92073","6/8/2025","[02045000] لحوم,من فصيلة الماعز,طازجة أو مبردة أو مجمدة","لحوم,من فصيلة الماعز,طازجة أو مبردة أو مجمدة","02045000","2","375","125","500","وزن","0","","","",""
"92074","6/8/2025","[02061000] أحشاء وأطراف صالحة للأكل ,من  فصيلة الأبقار, طازجة أو مبردة","أحشاء وأطراف صالحة للأكل ,من  فصيلة الأبقار, طازجة أو مبردة","02061000","2","75","25","100","وزن","0","","","",""
"92075","6/8/2025","[02062100] ألسنة صالحة للأكل,من فصيلة الأبقار,مجمدة","ألسنة صالحة للأكل,من فصيلة الأبقار,مجمدة","02062100","2","75","25","100","وزن","0","","","",""
"92076","6/8/2025","[02062200] أكباد صالحة للأكل,من فصيلة الأبقار,مجمدة","أكباد صالحة للأكل,من فصيلة الأبقار,مجمدة","02062200","2","75","25","100","وزن","0","","","",""
"92077","6/8/2025","[02062900] أحشاء وأطراف صالحةللأكل(عداالألسنةوالأكباد), من فصيلة الأبقار,مجمدة","أحشاء وأطراف صالحةللأكل(عداالألسنةوالأكباد), من فصيلة الأبقار,مجمدة","02062900","2","75","25","100","وزن","0","","","",""
"92078","6/8/2025","[02068000] غيرها طازجة أو مبردة:","غيرها طازجة أو مبردة:","02068000","2","75","25","100","وزن","0","","","",""
"92079","6/8/2025","[02069000] غيرها، مجمدة:","غيرها، مجمدة:","02069000","2","75","25","100","وزن","0","","","",""
"92080","6/8/2025","[02071100] لحوم وأحشاء وأطراف,غير مقطعة,صالحة للأكل,من دواجن طازجة أو مبردة","لحوم وأحشاء وأطراف,غير مقطعة,صالحة للأكل,من دواجن طازجة أو مبردة","02071100","2","0","0","0","وزن","0","","","",""
"92081","6/8/2025","[02071200] لحوم وأحشاء وأطراف,غير مقطعة,صالحة للأكل,من دواجن مجمدة","لحوم وأحشاء وأطراف,غير مقطعة,صالحة للأكل,من دواجن مجمدة","02071200","2","75","25","100","وزن","0","","","",""
"92082","6/8/2025","[02071300] قطع وأحشاء وأطراف,صالحة للأكل,من دواجن طازجة أو مبردة","قطع وأحشاء وأطراف,صالحة للأكل,من دواجن طازجة أو مبردة","02071300","2","0","0","0","وزن","0","","","",""
"92083","6/8/2025","[02071410] قطع وأحشاء وأطراف,صالحة للأكل,من دواجن ,مجمدة.","قطع وأحشاء وأطراف,صالحة للأكل,من دواجن ,مجمدة.(منزوعة ميكانيكياً MDM)","02071410","2","24.75","8.25","33","وزن","0","","","",""
"92084","6/8/2025","[02071490] قطع وأحشاء وأطراف,صالحة للأكل,من دواجن ,مجمدة.","قطع وأحشاء وأطراف,صالحة للأكل,من دواجن ,مجمدة.","02071490","2","75","25","100","وزن","0","","","",""
